zip_code,msa_name,per_college_educated,at_risk
23035,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",24.7,True
23050,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",12.8,True
23056,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",100.0,False
23061,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",46.3,False
23062,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",69.7,False
23066,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
23068,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",63.6,False
23072,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",28.3,True
23076,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",39.1,True
23109,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",62.7,False
23128,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
23130,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
23138,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",56.3,False
23168,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",56.2,False
23185,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",66.4,False
23188,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",32.8,True
23314,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",43.3,False
23315,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",35.6,True
23320,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",52.6,False
23321,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",50.3,False
23322,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",45.4,False
23323,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",38.9,True
23324,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",33.6,True
23325,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",40.8,False
23430,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",38.9,True
23432,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",75.5,False
23433,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
23434,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",34.1,True
23435,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",45.5,False
23436,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",23.4,True
23437,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",19.0,True
23438,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",21.2,True
23451,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",45.1,False
23452,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",44.9,False
23453,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",50.5,False
23454,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",42.6,False
